row,col,trt,y
1,1,2,4.00
1,2,3,5.30
1,3,4,1.10
1,4,5,16.90
1,5,6,16.90
1,6,7,10.30
1,7,1,294.00
2,1,7,17.50
2,2,1,220.00
2,3,2,12.20
2,4,3,15.50
2,5,4,11.00
2,6,5,26.50
2,7,6,27.20
3,1,6,37.00
3,2,7,26.00
3,3,1,310.00
3,4,2,22.70
3,5,3,24.20
3,6,4,21.40
3,7,5,31.30
4,1,5,46.80
4,2,6,44.20
4,3,7,34.30
4,4,1,282.00
4,5,2,33.70
4,6,3,33.70
4,7,4,30.50
